gene,transcript,exon length,start,end
ENSG00000188157,ENST00000620552,12,1051031,1051043
ENSG00000188157,ENST00000620552,24,1051992,1052016
ENSG00000188157,ENST00000419249,12,1051031,1051043
ENSG00000188157,ENST00000419249,24,1051992,1052016
ENSG00000131591,ENST00000379339,26,1084480,1084506
ENSG00000131591,ENST00000379325,26,1084480,1084506
ENSG00000131591,ENST00000421241,26,1084480,1084506
ENSG00000131591,ENST00000477196,26,1084480,1084506
ENSG00000131591,ENST00000467751,26,1084480,1084506
ENSG00000131591,ENST00000379320,26,1084480,1084506
ENSG00000131591,ENST00000379319,26,1084480,1084506
ENSG00000131591,ENST00000434641,26,1084480,1084506
ENSG00000131591,ENST00000482816,26,1084480,1084506
ENSG00000131584,ENST00000354700,12,1299344,1299356
ENSG00000131584,ENST00000492936,12,1299344,1299356
ENSG00000131584,ENST00000353662,12,1299344,1299356
ENSG00000127054,ENST00000618806,18,1314300,1314318
ENSG00000162576,ENST00000342753,24,1356680,1356704
ENSG00000162576,ENST00000309212,24,1356680,1356704
ENSG00000162576,ENST00000445648,24,1356680,1356704
ENSG00000162576,ENST00000477278,24,1356680,1356704
ENSG00000221978,ENST00000480479,19,1388491,1388510
ENSG00000221978,ENST00000408952,19,1388491,1388510
ENSG00000221978,ENST00000408952,15,1388815,1388830
ENSG00000221978,ENST00000481223,14,1392789,1392803
ENSG00000221978,ENST00000505849,19,1388491,1388510
ENSG00000221978,ENST00000488340,14,1392789,1392803
ENSG00000197530,ENST00000487053,20,1629384,1629404
ENSG00000248333,ENST00000629289,17,1645952,1645969
ENSG00000248333,ENST00000626918,18,1646125,1646143
ENSG00000149527,ENST00000462379,27,2503616,2503643
ENSG00000142606,ENST00000502556,26,2609393,2609419
ENSG00000162591,ENST00000294599,27,3493770,3493797
ENSG00000116254,ENST00000496404,30,6129039,6129069
ENSG00000187017,ENST00000645284,12,6457360,6457372
ENSG00000187017,ENST00000377828,12,6457360,6457372
ENSG00000187017,ENST00000461727,12,6457360,6457372
ENSG00000187017,ENST00000416731,9,6457265,6457274
ENSG00000187017,ENST00000475228,12,6457360,6457372
ENSG00000187017,ENST00000633239,27,6450443,6450470
ENSG00000187017,ENST00000633239,12,6457360,6457372
ENSG00000187017,ENST00000434576,12,6457360,6457372
ENSG00000187017,ENST00000477679,12,6457360,6457372
ENSG00000171735,ENST00000495233,21,7749770,7749791
ENSG00000049247,ENST00000054668,23,7852900,7852923
ENSG00000171608,ENST00000536656,18,9721125,9721143
ENSG00000171608,ENST00000543390,19,9721124,9721143
ENSG00000171603,ENST00000377298,30,9756480,9756510
ENSG00000054523,ENST00000377086,18,10273013,10273031
ENSG00000054523,ENST00000377081,18,10273013,10273031
ENSG00000054523,ENST00000620295,18,10273013,10273031
ENSG00000054523,ENST00000622724,18,10273013,10273031
ENSG00000054523,ENST00000635499,27,10355369,10355396
ENSG00000120948,ENST00000638264,18,11016843,11016861
ENSG00000171824,ENST00000474216,16,11080498,11080514
ENSG00000132879,ENST00000376760,30,11655669,11655699
ENSG00000175206,ENST00000610706,3,11846011,11846014
ENSG00000120949,ENST00000263932,26,12135587,12135613
ENSG00000120949,ENST00000417814,26,12135587,12135613
ENSG00000120949,ENST00000514649,26,12135587,12135613
ENSG00000120949,ENST00000413146,26,12135587,12135613
ENSG00000120949,ENST00000479933,26,12135587,12135613
ENSG00000184908,ENST00000619181,11,16048503,16048514
ENSG00000237276,ENST00000602586,21,16219405,16219426
ENSG00000117122,ENST00000375534,27,16976896,16976923
ENSG00000117122,ENST00000375535,27,16976896,16976923
ENSG00000117122,ENST00000478684,27,16976896,16976923
ENSG00000074964,ENST00000361221,15,17634547,17634562
ENSG00000074964,ENST00000375415,15,17634547,17634562
ENSG00000230035,ENST00000419667,17,18167746,18167763
ENSG00000230035,ENST00000419667,22,18176152,18176174
ENSG00000127463,ENST00000641089,9,19234179,19234188
ENSG00000173436,ENST00000485362,20,19597833,19597853
ENSG00000162542,ENST00000294543,28,19770541,19770569
ENSG00000162542,ENST00000375127,28,19770541,19770569
ENSG00000162542,ENST00000489135,28,19770541,19770569
ENSG00000162542,ENST00000496528,28,19770541,19770569
ENSG00000162542,ENST00000462171,28,19770541,19770569
ENSG00000075151,ENST00000602326,21,20982387,20982408
ENSG00000142794,ENST00000434838,30,21449858,21449888
ENSG00000090686,ENST00000400301,27,21680807,21680834
ENSG00000090686,ENST00000308271,27,21680807,21680834
ENSG00000090686,ENST00000374732,27,21680807,21680834
ENSG00000090686,ENST00000529637,27,21680807,21680834
ENSG00000142798,ENST00000635682,18,21832874,21832892
ENSG00000215906,ENST00000618559,29,22958684,22958713
ENSG00000004487,ENST00000400181,12,23066059,23066071
ENSG00000142661,ENST00000338909,23,24061059,24061082
ENSG00000142661,ENST00000374434,23,24061059,24061082
ENSG00000133226,ENST00000447431,7,24652621,24652628
ENSG00000117643,ENST00000611903,2,25763637,25763639
ENSG00000117643,ENST00000611903,10,25781250,25781260
ENSG00000162430,ENST00000354177,11,25813630,25813641
ENSG00000228172,ENST00000442055,22,25818402,25818424
ENSG00000158022,ENST00000374272,23,26057627,26057650
ENSG00000142675,ENST00000361530,28,26184584,26184612
